"id","item_name","item_date"
"0","マックシェイク 北海道メロン","2017/3/22"
"1","てりたま","2017/3/8"
"2","チーズてりたま","2017/3/8"
"3","ギガベーコンてりたま","2017/3/8"
"4","てりたまマフィン","2017/3/8"
"5","シャカシャカポテト さくらえびしお","2017/3/8"
"6","マックフィズ さくらんぼ","2017/3/8"
"7","マックフロート さくらんぼ","2017/3/8"
"8","マックフルーリー サクサクさくら","2017/3/1"
"9","和風ポテトフライ 大学いもの味","2017/2/15"
"10","ホワイトチョコストロベリーラテ","2017/2/15"
"11","アイスホワイトチョコストロベリーラテ","2017/2/15"
"12","ホワイトチョコストロベリースムージー","2017/2/15"
"13","チキンタツタ","2017/2/8"
"14","チキンタルタ","2017/2/8"
"15","チキンマックナゲット しょうが醤油ソース","2017/2/8"
"16","チキンマックナゲット タルタルソース","2017/2/8"
"17","トリプルチーズバーガー","2017/2/1"
"18","ダブルてりやきマックバーガー","2017/2/1"
"19","マックフルーリー オレンジショコラ","2017/1/25"
"20","三角いちごチョコパイ","2017/1/25"
"21","キャラメルロイヤルミルクティー","2017/1/18"
"22","キャラメルロイヤルミルクティーフラッペ","2017/1/18"
"23","カーリーポテトフライ","2017/1/6"
"24","超グラコロ","2016/12/14"
"25","超デミチーズグラコロ","2016/12/14"
"26","シャカシャカポテト トマトクリーム","2016/12/14"
"27","チキンマックナゲット クリーミーチーズソース","2016/12/7"
"28","チキンマックナゲット フルーツカレーソース","2016/12/7"
"29","プレミアムホットチョコレート","2016/12/7"
"30","プレミアムチョコレートフラッペ","2016/12/7"
"31","ザッハトルテ","2016/12/1"
"32","マックフルーリー ティラミス","2016/11/22"
"33","かるびマック","2016/11/22"
"34","三角チョコパイ 黒","2016/11/16"
"35","三角チョコパイ 白","2016/11/16"
"36","チーズカツバーガー","2016/11/2"
"37","クリームブリュレラテ","2016/11/2"
"38","アイスクリームブリュレラテ","2016/11/2"
"39","クリームブリュレフラッペ","2016/11/2"
"40","アップルキャラメルタルト","2016/11/2"
"41","ハロウィン魔女ポテト紫いも＆チョコソース","2016/10/19"
"42","ミネストローネ","2016/10/19"
"43","コーンクリームスープ","2016/10/19"
"44","ロイヤルミルクティー","2016/10/19"
"45","ホットココア","2016/10/19"
"46","マックフルーリー ポムポムプリン","2016/10/14"
"47","ベーコンポテトパイ","2016/10/12"
"48","テキサスバーガー","2016/10/5"
"49","キャラメルクランチフラッペ","2016/10/5"
"50","安納芋のシフォンケーキ","2016/10/5"
"51","ハロウィンチョコポテト パンプキン&チョコソース","2016/9/28"
"52","マックシェイク 森永ミルクキャラメル","2016/9/21"
"53","三角ももクリームパイ","2016/9/7"
"54","抹茶チョコレートブラウニーフラッペ","2016/9/7"
"55","抹茶ケーキ","2016/9/7"
"56","抹茶ラテフラッペ","2016/9/7"
"57","アイス抹茶ラテ","2016/9/7"
"58","抹茶ラテ","2016/9/7"
"59","月見バーガー","2016/8/31"
"60","チーズ月見","2016/8/31"
"61","満月チーズ月見","2016/8/31"
"62","マックフィズ ゆず","2016/8/31"
"63","マックフロート ゆず","2016/8/31"
"64","シャカシャカポテト 明太マヨ","2016/8/31"
"65","マックシェイク もも","2016/8/17"
"66","マックフルーリー バナナタルト","2016/8/10"
"67","葡萄（ぶどう）のスムージー","2016/8/10"
"68","必勝バーガー ビーフ＆パイン","2016/8/3"
"69","必勝バーガー チキン＆トマト","2016/8/3"
"70","必勝アミアミポテト","2016/8/3"
"71","必勝マックフィズ ゴールドキウイ","2016/8/3"
"72","必勝マックフロート ゴールドキウイ","2016/8/3"
"73","メガマフィン","2016/8/3"
"74","メガマックグリドル","2016/8/3"
"75","ダブルフィレオフィッシュ","2016/8/3"
"76","マックシェイク ヨーグルト味","2016/7/20"
"77","フルーツやさいスムージー","2016/7/13"
"78","1971 炙（あぶ）り醤油ジャパン","2016/7/6"
"79","1955 スモーキーアメリカ","2016/7/6"
"80","クラシックフライ はちみつマスタード","2016/7/6"
"81","桃のスムージー","2016/6/29"
"82","マックシェイク 沖縄パイン","2016/6/22"
"83","裏てりやきマックバーガー","2016/6/15"
"84","裏チキンフィレオ","2016/6/15"
"85","裏ダブルチーズバーガー","2016/6/15"
"86","マックフルーリー 日向夏チーズケーキ","2016/6/1"
"87","ストロベリーヨーグルトスムージー","2016/6/1"
"88","ストロベリーヨーグルトドリンク","2016/6/1"
"89","パッションフルーツヨーグルトスムージー","2016/6/1"
"90","パッションフルーツヨーグルトドリンク","2016/6/1"
"91","ロコモコバーガー","2016/5/20"
"92","マックシェイク 甘夏みかん","2016/5/11"
"93","クラブハウスバーガー","2016/4/27"
"94","シャカシャカポテト クアトロチーズ味","2016/4/27"
"95","マックフィズ シチリアレモン","2016/4/27"
"96","マックフロート シチリアレモン","2016/4/27"
"97","チョコバナナスムージー","2016/4/18"
"98","バナナシフォンケーキ","2016/4/18"
"99","チョコバナナラテ","2016/4/18"
"100","アイスチョコバナナラテ","2016/4/18"
"101","グランド ビッグマック","2016/4/6"
"102","ギガ ビッグマック","2016/4/6"
"103","北海道ミルクパイ","2016/3/29"
"104","マックフルーリー 宇治抹茶&あずき","2016/3/29"
"105","シャカチキ アメリカンバーベキュー","2016/3/15"
